STORE_NBR,NCPDP_PROVIDER_ID,DISTRICT_NBR,REGION_NBR,OPERATION_NBR,STORE_TYPE,STORE_TYPE_DESC,RETAIL_CLINIC_IND,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE_ABBV,ZIP_CODE_5,COUNTY,OPEN_24_HOURS,LATITUDE,LONGITUDE
11648,5130416,268,12,4,1,Regular,N,1401 BUSINESS 18 AND 151 E,N/A,MOUNT HOREB,WI,53572,DANE,N,43.00974839,-89.72138806
11649,5130810,39,12,4,1,Regular,N,999 E MAIN ST,N/A,WAUPUN,WI,53963,DODGE,N,43.633091,-88.716572
11651,135459,253,18,2,1,Regular,N,4700 HIGHWAY 280,N/A,BIRMINGHAM,AL,35242,SHELBY,Y,33.42166737,-86.70044155
11653,5636393,254,17,1,1,Regular,N,1320 ENCINITAS BLVD,N/A,ENCINITAS,CA,92024,SAN DIEGO,N,33.04629084,-117.2605717
11654,5634212,254,17,1,1,Regular,N,10787 CAMINO RUIZ,N/A,SAN DIEGO,CA,92126,SAN DIEGO,Y,32.914694,-117.1434391
11657,5705162,156,6,2,1,Regular,N,2000 NORMANDY DR.,N/A,MIAMI BEACH,FL,33141,MIAMI-DADE,Y,25.851496,-80.142006
11658,1036765,119,3,2,1,Regular,N,4747 GOLDEN GATE PKWY,N/A,NAPLES,FL,34116,COLLIER,N,26.182025,-81.70516
11659,5700744,284,3,2,1,Regular,N,635 E HIGHWAY 98,N/A,PANAMA CITY,FL,32401,BAY,N,30.15824458,-85.65076753
11661,1157177,284,3,2,1,Regular,N,602 PETERSON AVE S,N/A,DOUGLAS,GA,31533,COFFEE,N,31.50105338,-82.84998672
11662,1483027,246,4,4,1,Regular,N,189 W NORTHWEST HWY,N/A,BARRINGTON,IL,60010,LAKE,N,42.16113108,-88.13810927
11663,1830757,34,25,4,1,Regular,N,6301 HIGHWAY 329,N/A,CRESTWOOD,KY,40014,OLDHAM,N,38.32453945,-85.4725063
11664,1831379,166,25,4,1,Regular,N,4926 CANE RUN RD,N/A,LOUISVILLE,KY,40216,JEFFERSON,N,38.1782151,-85.86382444
11665,1831507,166,25,4,1,Regular,N,4310 OUTER LOOP,N/A,OKOLONA,KY,40219,JEFFERSON,N,38.13762251,-85.68080589
11666,2637772,306,20,4,1,Regular,N,1820 S SPRINGFIELD AVE,N/A,BOLIVAR,MO,65613,POLK,N,37.59771,-93.403973
11667,3415040,216,23,3,1,Regular,N,1590 BENVENUE RD,N/A,ROCKY MOUNT,NC,27804,NASH,N,35.98047831,-77.80803777
11668,2992166,155,22,1,1,Regular,N,6390 BOULDER HWY,N/A,LAS VEGAS,NV,89122,CLARK,N,36.08463682,-115.0337181
11670,4440866,267,27,4,1,Regular,N,14857 RANKIN AVE,N/A,DUNLAP,TN,37327,SEQUATCHIE,N,35.36078,-85.396254
11671,4400127,36,27,4,1,Regular,Y,4680 POPLAR AVE,N/A,MEMPHIS,TN,38117,SHELBY,N,35.116137,-89.906498
11672,4549400,310,1,2,1,Regular,N,1673 STATE HIGHWAY 100,N/A,PORT ISABEL,TX,78578,CAMERON,N,26.07210391,-97.22500248
11673,4611136,155,22,1,1,Regular,N,1235 W STATE ST,N/A,HURRICANE,UT,84737,WASHINGTON,N,37.17605643,-113.3104071
11674,4611162,155,22,1,1,Regular,N,1849 W SUNSET BLVD,N/A,ST GEORGE,UT,84770,WASHINGTON,N,37.122165,-113.623198
11675,4841044,318,15,3,1,Regular,N,15250 MONTANUS DR,N/A,CULPEPER,VA,22701,CULPEPER,N,38.48384416,-77.97043811
11676,5130454,39,12,4,1,Regular,N,N168W21330 MAIN ST,N/A,JACKSON,WI,53037,WASHINGTON,N,43.324546,-88.173552
11677,5054793,330,15,3,1,Regular,N,101 FORBES DR,N/A,MARTINSBURG,WV,25404,BERKELEY,Y,39.475708,-77.957267
11683,1035218,30,28,2,1,Regular,N,3769 PLEASANT HILL RD,N/A,KISSIMMEE,FL,34746,OSCEOLA,N,28.18366994,-81.43890926
11684,1045980,163,28,2,1,Regular,N,2251 N SEMORAN BLVD,N/A,ORLANDO,FL,32807,ORANGE,N,28.574787,-81.311417
11685,1158410,178,18,2,1,Regular,N,201 PACIFIC AVE,N/A,BREMEN,GA,30110,HARALSON,N,33.7199809,-85.14589159
11686,1161568,178,18,2,1,Regular,N,303 CHARLIE WATTS DR,N/A,DALLAS,GA,30157,PAULDING,N,33.907877,-84.824104
11687,1308039,260,22,1,1,Regular,N,4850 N LINDER RD,N/A,MERIDIAN,ID,83646,ADA,N,43.64888017,-116.4129922
11688,2242345,308,8,3,1,Regular,N,1195 GRANBY RD,N/A,CHICOPEE,MA,1020,HAMPDEN,N,42.1749364,-72.58618168
11689,2371374,174,7,3,1,Regular,N,2045 S I 75 BUSINESS LOOP,N/A,GRAYLING,MI,49738,CRAWFORD,N,44.65606339,-84.70733947
11690,2428868,40,21,4,1,Regular,N,121 DEPOT DR,N/A,WACONIA,MN,55387,CARVER,N,44.843088,-93.787533
11691,3416030,256,23,3,1,Regular,N,110 GROVE ST,N/A,FAYETTEVILLE,NC,28301,CUMBERLAND,N,35.056561,-78.876365
11692,3416092,184,23,3,1,Regular,N,500 FINCHER ST,N/A,MONROE,NC,28112,UNION,Y,34.97923334,-80.5230965
11693,3413414,256,23,3,1,Regular,N,200 N BRAGG BLVD,N/A,SPRING LAKE,NC,28390,CUMBERLAND,N,35.16935214,-78.97294477
11694,3676749,202,13,3,1,Regular,N,190 CHESTNUT ST,N/A,COSHOCTON,OH,43812,COSHOCTON,N,40.27519225,-81.86886365
11695,3679593,305,29,3,1,Regular,N,2001 SUNSET BLVD,N/A,STEUBENVILLE,OH,43952,JEFFERSON,N,40.36988971,-80.63615762
11696,3842956,176,2,1,1,Regular,N,1727 12TH ST,N/A,HOOD RIVER,OR,97031,HOOD RIVER,N,45.696446,-121.523141
11697,3992701,305,29,3,1,Regular,N,108 GREENSBURG RD,N/A,LOWER BURRELL,PA,15068,WESTMORELAND,N,40.55192797,-79.75598876
11698,4227903,282,23,3,1,Regular,N,101 HAMPTON AVE,N/A,PICKENS,SC,29671,PICKENS,N,34.88474633,-82.70396083
11699,4440703,127,27,4,1,Regular,N,2409 US HIGHWAY 411 S,N/A,MARYVILLE,TN,37801,BLOUNT,N,35.7176754,-84.01407121
11700,4441591,267,27,4,1,Regular,N,2708 NEW SALEM HWY,N/A,MURFREESBORO,TN,37128,RUTHERFORD,N,35.810977,-86.459585
11701,4424482,179,27,4,1,Regular,N,200 W MAPLEWOOD LN,N/A,NASHVILLE,TN,37207,DAVIDSON,N,36.23358729,-86.75910102
11704,135613,316,18,2,1,Regular,N,5301 SUMMERVILLE RD,N/A,PHENIX CITY,AL,36867,LEE,N,32.51943338,-85.0285287
11705,5634894,293,11,1,1,Regular,N,3019 FLOYD AVE,N/A,MODESTO,CA,95355,STANISLAUS,N,37.67864595,-120.9389815
11706,583206,58,11,1,1,Regular,N,301 E 18TH ST,N/A,OAKLAND,CA,94606,ALAMEDA,N,37.79918357,-122.2523177
11707,5637307,193,17,1,1,Regular,N,1801 N ROSE AVE,N/A,OXNARD,CA,93030,VENTURA,N,34.21767088,-119.1589801
